execCount post1_u_raw post1_v_raw post2_u_raw post2_v_raw center_u_raw center_v_raw post1_u_filtered post1_v_filtered post2_u_filtered post2_v_filtered center_u_filtered center_v_filtered 
250 1979 1038 1975 -862 1977.0 1038.0 1962.93548387 1025.29032258 1982.1 -867.933333333 1972.51774194 78.6784946237 
251 1954 1017 1982 -872 1968.0 1017.0 1962.19354839 1024.77419355 1981.8 -867.9 1971.99677419 78.4370967742 
252 1985 1037 1997 -876 1991.0 1037.0 1962.96774194 1025.16129032 1983.46666667 -868.733333333 1973.2172043 78.2139784946 
253 1978 1034 1990 -869 1984.0 1034.0 1963.58064516 1025.58064516 1982.96666667 -868.366666667 1973.27365591 78.6069892473 
254 1939 1013 1969 -863 1954.0 1013.0 1961.83870968 1024.67741935 1982.23333333 -867.933333333 1972.03602151 78.3720430108 
255 1993 1041 1961 -857 1977.0 1041.0 1962.32258065 1024.80645161 1981.26666667 -867.433333333 1971.79462366 78.6865591398 
256 1923 1005 1938 -848 1930.5 1005.0 1960.06451613 1023.64516129 1979.5 -866.6 1969.78225806 78.5225806452 
257 1977 1033 1991 -873 1984.0 1033.0 1961.12903226 1024.06451613 1980.03333333 -866.9 1970.5811828 78.5822580645 
258 1953 1017 1997 -876 1975.0 1017.0 1961.58064516 1024.19354839 1980.06666667 -867.033333333 1970.82365591 78.5801075269 
259 1959 1021 2006 -877 1982.5 1021.0 1962.25806452 1024.4516129 1980.36666667 -867.166666667 1971.31236559 78.6424731183 
